session_id	original_session_id
ses-1269528778	ses-1269528778
ses-1269533196	ses-1269533196
ses-1269533843	ses-1269533843
ses-1269540163	ses-1269540163
ses-1269573448	ses-1269573448
ses-1269601625	ses-1269601625
ses-1270826760	ses-1270826760
ses-1270836783	ses-1270836783
ses-1270842541	ses-1270842541
ses-1270851803	ses-1270851803
ses-1270857167	ses-1270857167
ses-1270869059	ses-1270869059
ses-1270914211	ses-1270914211
ses-1270931176	ses-1270931176
ses-1271064716	ses-1271064716
ses-1271075371	ses-1271075371
ses-1271119875	ses-1271119875
ses-1271127391	ses-1271127391
ses-1272026289	ses-1272026289
ses-1272031332	ses-1272031332
ses-1272039851	ses-1272039851
ses-1272049018	ses-1272049018
ses-1272060020	ses-1272060020
